category,component,group_code,rcv,story,desc
APP,CTG+,kitchen,1234.59,0,Cooktop - gas - High grade
APP,DW++,kitchen,1856.28,0,Dishwasher - Premium grade
APP,FRBI+,kitchen,7145.63,0,Built-in freezer - 36in - High grade
APP,GD+,kitchen,491.74,0,Garbage disposer - High grade
APP,MWS+,kitchen,1127.88,0,Microwave oven - over range w/built-in hood - High grade
APP,OVBID+,kitchen,5091.63,0,Built-in double oven - High grade
APP,RFBI>+,kitchen,11033.25,0,Built-in refrigerator - 42in - High grade
APP,WL,kitchen,87.95,0,Appliance water line - 1/4in
CAB,CTSS+,bath,1222.2,0,Countertop - solid surface - High grade
CAB,CTSS+,bath2,733.32,0,Countertop - solid surface - High grade
CAB,CTSS+,bath3,1466.64,0,Countertop - solid surface - High grade
CAB,CTSS+,bath4,1222.2,-1,Countertop - solid surface - High grade
CAB,CTSS+,bath5,1222.2,-1,Countertop - solid surface - High grade
CAB,CTSS+,kitchen,4888.8,0,Countertop - solid surface - High grade
CAB,CTSS+,kitchen,1955.52,0,Countertop - solid surface - High grade
CAB,CUW24+,kitchen,5765.18,0,Custom cabinets - wall units - up to 24in tall - High grade
CAB,FH+,kitchen,1259.11,0,Cabinetry - full height unit - High grade
CAB,FH++,kitchen,3985.84,0,Cabinetry - full height unit - Premium grade
CAB,FLOW+,kitchen,7596.72,0,Cabinetry - laminate lower (base) units - High grade
CAB,GL+,kitchen,1011.84,0,Add for leaded glass (standard design). per cabinet door
CAB,KNPL,kitchen,443.08,0,Cabinet knob or pull
CAB,LOW++,kitchen,3989,0,Cabinetry - lower (base) units - Premium grade
CAB,MC+,bath,358.3,0,Medicine cabinet - High grade
CAB,MC+,bath2,358.3,0,Medicine cabinet - High grade
CAB,MC+,bath3,358.3,0,Medicine cabinet - High grade
CAB,MC+,bath4,358.3,-1,Medicine cabinet - High grade
CAB,MC+,bath5,358.3,-1,Medicine cabinet - High grade
CAB,RH42+,kitchen,2699.17,0,Wood range hood. 42in - tapered canopy - High grade
CAB,UP+,laundryroom,1430.4,0,Cabinetry - upper (wall) units - High grade
CAB,UP+,laundryroom2,1430.4,-1,Cabinetry - upper (wall) units - High grade
CAB,VAN+,bath,2371.9,0,Vanity - High grade
CAB,VAN+,bath2,1185.95,0,Vanity - High grade
CAB,VAN+,bath3,2767.21,0,Vanity - High grade
CAB,VAN+,bath4,2371.9,-1,Vanity - High grade
CAB,VAN+,bath5,2371.9,-1,Vanity - High grade
CNC,DKCOLAY,deck,3463.56,0,Overlay for exterior decking - stamped polymer concrete
CNC,PIER,deck,1104.76,0,Concrete pier or footing with post anchor
DMO,DUMP>,structurelev,10857.6,0,Dumpster load - Approx. 30 yards. 5-7 tons of debris
DOR,AV+,bath,492.37,0,Interior door unit - High grade
DOR,AV+,bath2,492.37,0,Interior door unit - High grade
DOR,AV+,bath3,492.37,0,Interior door unit - High grade
DOR,AV+,bath4,492.37,-1,Interior door unit - High grade
DOR,AV+,bath5,492.37,-1,Interior door unit - High grade
DOR,AV+,bedroom,492.37,0,Interior door unit - High grade
DOR,AV+,bedroom2,492.37,0,Interior door unit - High grade
DOR,AV+,bedroom3,492.37,0,Interior door unit - High grade
DOR,AV+,bedroom4,492.37,0,Interior door unit - High grade
DOR,AV+,bedroom5,492.37,-1,Interior door unit - High grade
DOR,AV+,bedroom6,492.37,-1,Interior door unit - High grade
DOR,AV+,bedroom7,492.37,-1,Interior door unit - High grade
DOR,AV+,bedroom8,492.37,-1,Interior door unit - High grade
DOR,AV+,laundryroom,492.37,0,Interior door unit - High grade
DOR,AV+,laundryroom2,492.37,-1,Interior door unit - High grade
DOR,AV+,structurelev,492.37,0,Interior door unit - High grade
DOR,AV+,structurelev,984.74,0,Interior door unit - High grade
DOR,AV+,utilityroom,492.37,0,Interior door unit - High grade
DOR,AV+,utilityroom2,492.37,-1,Interior door unit - High grade
DOR,AV+,walkinclose2,492.37,0,Interior door unit - High grade
DOR,AV+,walkincloset,492.37,0,Interior door unit - High grade
DOR,BF+,bedroom,555.51,0,Bifold door set - Birch veneer - Double
DOR,BF+,bedroom2,555.51,0,Bifold door set - Birch veneer - Double
DOR,BF+,bedroom3,555.51,0,Bifold door set - Birch veneer - Double
DOR,BF+,bedroom4,555.51,0,Bifold door set - Birch veneer - Double
DOR,BF+,bedroom5,555.51,-1,Bifold door set - Birch veneer - Double
DOR,BF+,bedroom6,555.51,-1,Bifold door set - Birch veneer - Double
DOR,BF+,bedroom7,555.51,-1,Bifold door set - Birch veneer - Double
DOR,BF+,bedroom8,555.51,-1,Bifold door set - Birch veneer - Double
DOR,STRMD+,patio,549.15,0,Storm door assembly - High grade
DOR,X+,structurelev,2283.81,0,Exterior door - metal - insulated / wood - High grade
DRY,1/2+,bath,1137.4,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bath,190.87,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bath2,877.21,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bath2,119.78,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bath3,1576,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bath3,381.75,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bath4,1137.4,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bath4,190.87,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bath5,1137.4,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bath5,190.87,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom,1754.42,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom,677.63,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom2,2282.25,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom2,1140.23,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom3,2282.25,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom3,1140.23,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom4,2631.63,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom4,1517.63,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom5,2282.25,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom5,806.39,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom6,2631.63,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom6,1073.27,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom7,2631.63,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom7,1073.27,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom8,2631.63,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,bedroom8,1073.27,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,diningroom,2631.63,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,diningroom,1464.99,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,entryfoyer,1754.42,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,entryfoyer,677.63,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,familyroom,2631.63,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,familyroom,1464.99,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,hallway,1665.22,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,hallway,286.31,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,hallway2,1843.64,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,hallway2,432.51,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,hallway3,1665.22,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,hallway3,286.31,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,hallway4,1843.64,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,hallway4,432.51,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,kitchen,2282.25,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,kitchen,791.91,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,laundryroom,1576,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,laundryroom,381.75,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,laundryroom2,1576,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,laundryroom2,381.75,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,livingroom,2981.04,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,livingroom,1895.03,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,livingroom2,2631.63,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,livingroom2,1036.1,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,livingroom3,2981.04,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,livingroom3,1340.19,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,nook,1754.42,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,nook,677.63,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,nook2,1754.42,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,nook2,479.19,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,structurelev,604.64,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,structurelev,1209.26,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,utilityroom,1932.84,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,utilityroom,576.69,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,utilityroom2,1932.84,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,utilityroom2,576.69,-1,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,walkinclose2,1932.84,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,walkinclose2,576.69,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,walkincloset,1932.84,0,1/2in drywall - hung. taped. heavy texture. ready for paint
DRY,1/2+,walkincloset,576.69,0,1/2in drywall - hung. taped. heavy texture. ready for paint
ELE,110,kitchen,105.88,0,110 volt copper wiring run. box and outlet
ELE,110,kitchen,105.88,0,110 volt copper wiring run. box and outlet
ELE,110,kitchen,105.88,0,110 volt copper wiring run. box and outlet
ELE,220,kitchen,266.35,0,220 volt copper wiring run. box and receptacle
ELE,220,kitchen,266.35,0,220 volt copper wiring run. box and receptacle
ELE,BPNL200,structurelev,2026.63,0,Breaker panel - 200 amp
ELE,GFI,bath,44.8,0,Ground fault interrupter (GFI) outlet
ELE,GFI,bath2,44.8,0,Ground fault interrupter (GFI) outlet
ELE,GFI,bath3,89.62,0,Ground fault interrupter (GFI) outlet
ELE,GFI,bath4,44.8,-1,Ground fault interrupter (GFI) outlet
ELE,GFI,bath5,44.8,-1,Ground fault interrupter (GFI) outlet
ELE,GFI,deck,44.8,0,Ground fault interrupter (GFI) outlet
ELE,GFI,kitchen,89.62,0,Ground fault interrupter (GFI) outlet
ELE,GFI,laundryroom,44.8,0,Ground fault interrupter (GFI) outlet
ELE,GFI,laundryroom2,44.8,-1,Ground fault interrupter (GFI) outlet
ELE,GFI,patio,44.8,0,Ground fault interrupter (GFI) outlet
ELE,GROD,structurelev,149.23,0,Grounding rod - copper clad with clamp. 8'
ELE,LV,structurelev,58.08,0,Phone / low voltage copper wiring
ELE,LV,structurelev,58.08,0,Phone / low voltage copper wiring
ELE,MAST,structurelev,696.5,0,Meter mast for overhead power - 2in conduit
ELE,METR,structurelev,652.55,0,Meter base and main disconnect - 200 amp
ELE,OL,structurelev,49.54,0,Phone. TV. or speaker outlet
ELE,OL,structurelev,99.08,0,Phone. TV. or speaker outlet
ELE,OL220,kitchen,45.46,0,220 volt outlet
ELE,OL220,laundryroom,45.46,0,220 volt outlet
ELE,OL220,laundryroom2,45.46,-1,220 volt outlet
ELE,OS,bath,38.74,0,Outlet
ELE,OS,bath2,38.74,0,Outlet
ELE,OS,bath3,38.74,0,Outlet
ELE,OS,bath4,38.74,-1,Outlet
ELE,OS,bath5,38.74,-1,Outlet
ELE,OS,bedroom,154.94,0,Outlet
ELE,OS,bedroom2,154.94,0,Outlet
ELE,OS,bedroom3,154.94,0,Outlet
ELE,OS,bedroom4,154.94,0,Outlet
ELE,OS,bedroom5,154.94,-1,Outlet
ELE,OS,bedroom6,154.94,-1,Outlet
ELE,OS,bedroom7,154.94,-1,Outlet
ELE,OS,bedroom8,154.94,-1,Outlet
ELE,OS,deck,19.36,0,Outlet
ELE,OS,diningroom,96.84,0,Outlet
ELE,OS,entryfoyer,38.74,0,Outlet
ELE,OS,familyroom,213.04,0,Outlet
ELE,OS,hallway,58.1,0,Outlet
ELE,OS,hallway2,58.1,0,Outlet
ELE,OS,hallway3,58.1,-1,Outlet
ELE,OS,hallway4,58.1,-1,Outlet
ELE,OS,kitchen,77.48,0,Outlet
ELE,OS,kitchen,38.74,0,Outlet
ELE,OS,laundryroom,19.36,0,Outlet
ELE,OS,laundryroom2,19.36,-1,Outlet
ELE,OS,livingroom,213.04,0,Outlet
ELE,OS,livingroom2,213.04,-1,Outlet
ELE,OS,livingroom3,213.04,-1,Outlet
ELE,OS,nook,96.84,0,Outlet
ELE,OS,nook2,96.84,-1,Outlet
ELE,OS,patio,19.36,0,Outlet
ELE,OS,utilityroom,116.2,0,Outlet
ELE,OS,utilityroom2,116.2,-1,Outlet
ELE,OS,walkinclose2,38.74,0,Outlet
ELE,OS,walkincloset,38.74,0,Outlet
ELE,REWIRE,structurelev,25440,0,Rewire\wire - avg. residence - boxes & wiring
ELE,SMOKE+,bedroom,112.99,0,Smoke detector - High grade
ELE,SMOKE+,bedroom2,112.99,0,Smoke detector - High grade
ELE,SMOKE+,bedroom3,112.99,0,Smoke detector - High grade
ELE,SMOKE+,bedroom4,112.99,0,Smoke detector - High grade
ELE,SMOKE+,bedroom5,112.99,-1,Smoke detector - High grade
ELE,SMOKE+,bedroom6,112.99,-1,Smoke detector - High grade
ELE,SMOKE+,bedroom7,112.99,-1,Smoke detector - High grade
ELE,SMOKE+,bedroom8,112.99,-1,Smoke detector - High grade
ELE,SMOKE+,hallway,112.99,0,Smoke detector - High grade
ELE,SMOKE+,hallway2,112.99,0,Smoke detector - High grade
ELE,SMOKE+,hallway3,112.99,-1,Smoke detector - High grade
ELE,SMOKE+,hallway4,112.99,-1,Smoke detector - High grade
ELE,SMOKE+,structurelev,112.99,0,Smoke detector - High grade
ELE,TRUNK+,structurelev,742.08,0,Trunk cable - aluminum - 4 wire 4/0
ELE,XOS,structurelev,56.68,0,Exterior outlet or switch
FCC,AV++,bath,183.72,0,Carpet - Premium grade
FCC,AV++,bath2,115.3,0,Carpet - Premium grade
FCC,AV++,bath3,367.34,0,Carpet - Premium grade
FCC,AV++,bath4,183.72,-1,Carpet - Premium grade
FCC,AV++,bath5,183.72,-1,Carpet - Premium grade
FCC,AV++,bedroom,461.17,0,Carpet - Premium grade
FCC,AV++,bedroom2,776.04,0,Carpet - Premium grade
FCC,AV++,bedroom3,776.04,0,Carpet - Premium grade
FCC,AV++,bedroom4,1032.86,0,Carpet - Premium grade
FCC,AV++,bedroom5,776.04,-1,Carpet - Premium grade
FCC,AV++,bedroom6,1032.86,-1,Carpet - Premium grade
FCC,AV++,bedroom7,1032.86,-1,Carpet - Premium grade
FCC,AV++,bedroom8,1032.86,-1,Carpet - Premium grade
FCC,AV++,diningroom,997.09,0,Carpet - Premium grade
FCC,AV++,entryfoyer,461.17,0,Carpet - Premium grade
FCC,AV++,familyroom,997.09,0,Carpet - Premium grade
FCC,AV++,hallway,275.48,0,Carpet - Premium grade
FCC,AV++,hallway2,416.17,0,Carpet - Premium grade
FCC,AV++,hallway3,275.48,-1,Carpet - Premium grade
FCC,AV++,hallway4,416.17,-1,Carpet - Premium grade
FCC,AV++,kitchen,762.04,0,Carpet - Premium grade
FCC,AV++,laundryroom,367.34,0,Carpet - Premium grade
FCC,AV++,laundryroom2,367.34,-1,Carpet - Premium grade
FCC,AV++,livingroom,1289.67,0,Carpet - Premium grade
FCC,AV++,livingroom2,997.09,-1,Carpet - Premium grade
FCC,AV++,livingroom3,1289.67,-1,Carpet - Premium grade
FCC,AV++,nook,461.17,0,Carpet - Premium grade
FCC,AV++,nook2,461.17,-1,Carpet - Premium grade
FCC,AV++,utilityroom,555,0,Carpet - Premium grade
FCC,AV++,utilityroom2,555,-1,Carpet - Premium grade
FCC,AV++,walkinclose2,555,0,Carpet - Premium grade
FCC,AV++,walkincloset,555,0,Carpet - Premium grade
FCC,PAD+,bath,22.54,0,Carpet pad - High grade
FCC,PAD+,bath2,14.15,0,Carpet pad - High grade
FCC,PAD+,bath3,45.08,0,Carpet pad - High grade
FCC,PAD+,bath4,22.54,-1,Carpet pad - High grade
FCC,PAD+,bath5,22.54,-1,Carpet pad - High grade
FCC,PAD+,bedroom,56.59,0,Carpet pad - High grade
FCC,PAD+,bedroom2,95.2,0,Carpet pad - High grade
FCC,PAD+,bedroom3,95.2,0,Carpet pad - High grade
FCC,PAD+,bedroom4,126.72,0,Carpet pad - High grade
FCC,PAD+,bedroom5,95.2,-1,Carpet pad - High grade
FCC,PAD+,bedroom6,126.72,-1,Carpet pad - High grade
FCC,PAD+,bedroom7,126.72,-1,Carpet pad - High grade
FCC,PAD+,bedroom8,126.72,-1,Carpet pad - High grade
FCC,PAD+,diningroom,122.32,0,Carpet pad - High grade
FCC,PAD+,entryfoyer,56.59,0,Carpet pad - High grade
FCC,PAD+,familyroom,122.32,0,Carpet pad - High grade
FCC,PAD+,hallway,33.8,0,Carpet pad - High grade
FCC,PAD+,hallway2,51.07,0,Carpet pad - High grade
FCC,PAD+,hallway3,33.8,-1,Carpet pad - High grade
FCC,PAD+,hallway4,51.07,-1,Carpet pad - High grade
FCC,PAD+,kitchen,93.49,0,Carpet pad - High grade
FCC,PAD+,laundryroom,45.08,0,Carpet pad - High grade
FCC,PAD+,laundryroom2,45.08,-1,Carpet pad - High grade
FCC,PAD+,livingroom,158.23,0,Carpet pad - High grade
FCC,PAD+,livingroom2,122.32,-1,Carpet pad - High grade
FCC,PAD+,livingroom3,158.23,-1,Carpet pad - High grade
FCC,PAD+,nook,56.59,0,Carpet pad - High grade
FCC,PAD+,nook2,56.59,-1,Carpet pad - High grade
FCC,PAD+,utilityroom,68.08,0,Carpet pad - High grade
FCC,PAD+,utilityroom2,68.08,-1,Carpet pad - High grade
FCC,PAD+,walkinclose2,68.08,0,Carpet pad - High grade
FCC,PAD+,walkincloset,68.08,0,Carpet pad - High grade
FCT,AV++,bath,193.87,0,Tile floor covering - Premium grade
FCT,AV++,bath2,121.59,0,Tile floor covering - Premium grade
FCT,AV++,bath3,387.96,0,Tile floor covering - Premium grade
FCT,AV++,bath4,193.87,-1,Tile floor covering - Premium grade
FCT,AV++,bath5,193.87,-1,Tile floor covering - Premium grade
FCT,AV++,bedroom,486.91,0,Tile floor covering - Premium grade
FCT,AV++,bedroom2,819.23,0,Tile floor covering - Premium grade
FCT,AV++,bedroom3,819.23,0,Tile floor covering - Premium grade
FCT,AV++,bedroom4,1090.36,0,Tile floor covering - Premium grade
FCT,AV++,bedroom5,819.23,-1,Tile floor covering - Premium grade
FCT,AV++,bedroom6,1090.36,-1,Tile floor covering - Premium grade
FCT,AV++,bedroom7,1090.36,-1,Tile floor covering - Premium grade
FCT,AV++,bedroom8,1090.36,-1,Tile floor covering - Premium grade
FCT,AV++,diningroom,1052.61,0,Tile floor covering - Premium grade
FCT,AV++,entryfoyer,486.91,0,Tile floor covering - Premium grade
FCT,AV++,familyroom,1052.61,0,Tile floor covering - Premium grade
FCT,AV++,hallway,290.78,0,Tile floor covering - Premium grade
FCT,AV++,hallway2,439.32,0,Tile floor covering - Premium grade
FCT,AV++,hallway3,290.78,-1,Tile floor covering - Premium grade
FCT,AV++,hallway4,439.32,-1,Tile floor covering - Premium grade
FCT,AV++,kitchen,804.62,0,Tile floor covering - Premium grade
FCT,AV++,laundryroom,387.96,0,Tile floor covering - Premium grade
FCT,AV++,laundryroom2,387.96,-1,Tile floor covering - Premium grade
FCT,AV++,livingroom,1361.52,0,Tile floor covering - Premium grade
FCT,AV++,livingroom2,1052.61,-1,Tile floor covering - Premium grade
FCT,AV++,livingroom3,1361.52,-1,Tile floor covering - Premium grade
FCT,AV++,nook,486.91,0,Tile floor covering - Premium grade
FCT,AV++,nook2,486.91,-1,Tile floor covering - Premium grade
FCT,AV++,utilityroom,585.84,0,Tile floor covering - Premium grade
FCT,AV++,utilityroom2,585.84,-1,Tile floor covering - Premium grade
FCT,AV++,walkinclose2,585.84,0,Tile floor covering - Premium grade
FCT,AV++,walkincloset,585.84,0,Tile floor covering - Premium grade
FCW,AV+,bath,198.8,0,Oak flooring - select grade - no finish
FCW,AV+,bath2,124.75,0,Oak flooring - select grade - no finish
FCW,AV+,bath3,397.45,0,Oak flooring - select grade - no finish
FCW,AV+,bath4,198.8,-1,Oak flooring - select grade - no finish
FCW,AV+,bath5,198.8,-1,Oak flooring - select grade - no finish
FCW,AV+,bedroom,498.97,0,Oak flooring - select grade - no finish
FCW,AV+,bedroom2,839.53,0,Oak flooring - select grade - no finish
FCW,AV+,bedroom3,839.53,0,Oak flooring - select grade - no finish
FCW,AV+,bedroom4,1117.53,0,Oak flooring - select grade - no finish
FCW,AV+,bedroom5,839.53,-1,Oak flooring - select grade - no finish
FCW,AV+,bedroom6,1117.53,-1,Oak flooring - select grade - no finish
FCW,AV+,bedroom7,1117.53,-1,Oak flooring - select grade - no finish
FCW,AV+,bedroom8,1117.53,-1,Oak flooring - select grade - no finish
FCW,AV+,diningroom,1078.7,0,Oak flooring - select grade - no finish
FCW,AV+,entryfoyer,498.97,0,Oak flooring - select grade - no finish
FCW,AV+,familyroom,1078.7,0,Oak flooring - select grade - no finish
FCW,AV+,hallway,298.11,0,Oak flooring - select grade - no finish
FCW,AV+,hallway2,450.34,0,Oak flooring - select grade - no finish
FCW,AV+,hallway3,298.11,-1,Oak flooring - select grade - no finish
FCW,AV+,hallway4,450.34,-1,Oak flooring - select grade - no finish
FCW,AV+,kitchen,824.56,0,Oak flooring - select grade - no finish
FCW,AV+,laundryroom,397.45,0,Oak flooring - select grade - no finish
FCW,AV+,laundryroom2,397.45,-1,Oak flooring - select grade - no finish
FCW,AV+,livingroom,1395.39,0,Oak flooring - select grade - no finish
FCW,AV+,livingroom2,1078.7,-1,Oak flooring - select grade - no finish
FCW,AV+,livingroom3,1395.39,-1,Oak flooring - select grade - no finish
FCW,AV+,nook,498.97,0,Oak flooring - select grade - no finish
FCW,AV+,nook2,498.97,-1,Oak flooring - select grade - no finish
FCW,AV+,utilityroom,600.37,0,Oak flooring - select grade - no finish
FCW,AV+,utilityroom2,600.37,-1,Oak flooring - select grade - no finish
FCW,AV+,walkinclose2,600.37,0,Oak flooring - select grade - no finish
FCW,AV+,walkincloset,600.37,0,Oak flooring - select grade - no finish
FCW,FIN,bath,78.96,0,Sand & finish wood floor (natural finish)
FCW,FIN,bath2,49.55,0,Sand & finish wood floor (natural finish)
FCW,FIN,bath3,157.88,0,Sand & finish wood floor (natural finish)
FCW,FIN,bath4,78.96,-1,Sand & finish wood floor (natural finish)
FCW,FIN,bath5,78.96,-1,Sand & finish wood floor (natural finish)
FCW,FIN,bedroom,198.2,0,Sand & finish wood floor (natural finish)
FCW,FIN,bedroom2,333.47,0,Sand & finish wood floor (natural finish)
FCW,FIN,bedroom3,333.47,0,Sand & finish wood floor (natural finish)
FCW,FIN,bedroom4,443.89,0,Sand & finish wood floor (natural finish)
FCW,FIN,bedroom5,333.47,-1,Sand & finish wood floor (natural finish)
FCW,FIN,bedroom6,443.89,-1,Sand & finish wood floor (natural finish)
FCW,FIN,bedroom7,443.89,-1,Sand & finish wood floor (natural finish)
FCW,FIN,bedroom8,443.89,-1,Sand & finish wood floor (natural finish)
FCW,FIN,diningroom,428.48,0,Sand & finish wood floor (natural finish)
FCW,FIN,entryfoyer,198.2,0,Sand & finish wood floor (natural finish)
FCW,FIN,familyroom,428.48,0,Sand & finish wood floor (natural finish)
FCW,FIN,hallway,118.42,0,Sand & finish wood floor (natural finish)
FCW,FIN,hallway2,178.89,0,Sand & finish wood floor (natural finish)
FCW,FIN,hallway3,118.42,-1,Sand & finish wood floor (natural finish)
FCW,FIN,hallway4,178.89,-1,Sand & finish wood floor (natural finish)
FCW,FIN,kitchen,327.52,0,Sand & finish wood floor (natural finish)
FCW,FIN,laundryroom,157.88,0,Sand & finish wood floor (natural finish)
FCW,FIN,laundryroom2,157.88,-1,Sand & finish wood floor (natural finish)
FCW,FIN,livingroom,554.27,0,Sand & finish wood floor (natural finish)
FCW,FIN,livingroom2,428.48,-1,Sand & finish wood floor (natural finish)
FCW,FIN,livingroom3,554.27,-1,Sand & finish wood floor (natural finish)
FCW,FIN,nook,198.2,0,Sand & finish wood floor (natural finish)
FCW,FIN,nook2,198.2,-1,Sand & finish wood floor (natural finish)
FCW,FIN,utilityroom,238.47,0,Sand & finish wood floor (natural finish)
FCW,FIN,utilityroom2,238.47,-1,Sand & finish wood floor (natural finish)
FCW,FIN,walkinclose2,238.47,0,Sand & finish wood floor (natural finish)
FCW,FIN,walkincloset,238.47,0,Sand & finish wood floor (natural finish)
FNC,1X12H,familyroom,671.55,0,Trim board - 1in x 12in - installed (hardwood - oak or =)
FNC,1X12H,livingroom,747.59,0,Trim board - 1in x 12in - installed (hardwood - oak or =)
FNC,1X12H,livingroom2,671.55,-1,Trim board - 1in x 12in - installed (hardwood - oak or =)
FNC,1X12H,livingroom3,747.59,-1,Trim board - 1in x 12in - installed (hardwood - oak or =)
FNC,1X6H,familyroom,184.27,0,Trim board - 1in x 6in - installed (hardwood - oak or =)
FNC,1X6H,livingroom,205.11,0,Trim board - 1in x 6in - installed (hardwood - oak or =)
FNC,1X6H,livingroom2,184.27,-1,Trim board - 1in x 6in - installed (hardwood - oak or =)
FNC,1X6H,livingroom3,205.11,-1,Trim board - 1in x 6in - installed (hardwood - oak or =)
FNC,B3+,bath,189.43,0,Baseboard - 3 1/4in stain grade
FNC,B3+,bath2,146.12,0,Baseboard - 3 1/4in stain grade
FNC,B3+,bath3,262.43,0,Baseboard - 3 1/4in stain grade
FNC,B3+,bath4,189.43,-1,Baseboard - 3 1/4in stain grade
FNC,B3+,bath5,189.43,-1,Baseboard - 3 1/4in stain grade
FNC,B3+,bedroom,292.15,0,Baseboard - 3 1/4in stain grade
FNC,B3+,bedroom2,380.08,0,Baseboard - 3 1/4in stain grade
FNC,B3+,bedroom3,380.08,0,Baseboard - 3 1/4in stain grade
FNC,B3+,bedroom4,438.25,0,Baseboard - 3 1/4in stain grade
FNC,B3+,bedroom5,380.08,-1,Baseboard - 3 1/4in stain grade
FNC,B3+,bedroom6,438.25,-1,Baseboard - 3 1/4in stain grade
FNC,B3+,bedroom7,438.25,-1,Baseboard - 3 1/4in stain grade
